,Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Term ID,English term,Description,Sanskrit (IAST),Sanskrit
10,132,134,aac-3(sk30),apatanakah,apatānakaḥ,अपतानकः,,,,ITA-5.2.1.28,Orthotonus,"A disorder characterized by some or all the following signs
and symptoms: fixed eyes/gaze; loss of consciousness;
cooing sound from throat; repeated fainting; regaining
consciousness after a while in recovery; offering water to the
ancestral souls/ritual arrangements for sacrifice to the spirits
of dead persons.",apatānakaḥ,अपताि्कः
11,133,135,sk20(aac-4),arditah,arditaḥ,अर्दितः,,"it is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth this may be explained by: (a) increased vatadosha affecting one half of the face.",,ITA-5.2.1.33,Facial paralysis,"A disorder characterized by localized paralysis of one half of
the face with or without involvement of the body.",arditaḥ,अरदवातः
12,138,140,sn08(aac-7),vatashthila,vātāṣṭhīlā,वाताष्ठीला,,"it is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. this may be explained by: (a) vitiated vatadosha affecting urinary system.",,ITA-5.2.1.55,"Globular swelling
near the urinary
bladder resembling
benign prostatic
enlargement","A disorder characterized by some or all the following signs
and symptoms: distension of urinary bladder; distension in the
rectum; obstruction to passage of urine; obstruction in
passage of faeces; severe pain; obstruction to passage of
flatus; urine and faecal matter; stony hard globular swelling/
gland below navel; upwardly extended prominent
gland in navel.",vātāṣṭhīlā,र्ाताष्ीला
13,138,140,sn08(aac-7),vatashthila,vātāṣṭhīlā,वाताष्ठीला,,"it is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. this may be explained by: (a) vitiated vatadosha affecting urinary system.",,ITA-5.39.12,"Benign prostatic
hyperplasia","A disorder characterized by some or all the following signs
and symptoms: distension of urinary bladder; distension in the
rectum; obstruction to passage of urine; obstruction to
passage of faeces; severe pain; obstruction to passage of
flatus; urine and faecal matter; stony-hard globular swelling/
gland below navel; upwardly extended prominent
gland in navel.",vātāṣṭhīlā,र्ाताष्ीला
14,139,141,sp15(aac-8),avabahukah,avabāhukaḥ,अवबाहुकः,,"""it is characterised by pain, stiffness and restricted movements of the shoulder joint. this may be explained by: (a) increased vatadosha affecting the nerves and vessels of shoulder region.",,ITA-5.2.1.48,"Painful conditions of
shoulder joints with
severely affected or
restricted movements","A disorder characterized by atrophy of structures binding the
shoulder joints/wasting of shoulder region; ligamentous
contractions; inhibition of upper limb movements.",avabāhukaḥ,अर्बाहु्कः
15,140,142,sk55(aac-9),urustambah/adhyavatah,ūrustambhaḥ,ऊरुस्तम्भः/आढ्यवातः,,"it is characterised by flaccidity,log like immobility of the thighs. this may be explained by: (a) obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism).",,ITA-5.31.1,"Stiff thighs with loss
of sensation","A disorder characterized by some or all the following signs
and symptoms: severe tiredness of calf muscles; severe
tiredness of thighs; slight burning; slight pain; pain on
stepping; inability to perceive cold touch; inability to stand;
inability to tolerate pressure; inability/difficulty in walking;
inability to move; feeling as if thighs are broken; feeling as if
legs are broken; stiffness of thigh; loss of sensation in thigh;
thigh feeling as if it belongs to someone else; heaviness of
thigh; severe frequent pain; insensibility/meditatitve
appearance; generalized body aches; sensation of being
covered with a wet cloth; drowsiness/lassitude; vomiting; loss
of taste; fever; feeling of weakness of feet/legs; difficulty in
raising/lifting legs; numbness.",ūrustambhaḥ,ऊरुसतमभः
16,143,145,aac-10(sp2y ),amsasoshah,aṃsaśoṣaḥ,अंसशोषः,,,,ITA-5.2.1.47,"Muscle wasting around
shoulder joint","A disorder characterized by atrophy of structures binding the
shoulder joints/wasting of shoulder region.",aṃsaśoṣaḥ,अंसशोषः
17,144,146,sk30(aac-11),akshepakah,ākṣepakaḥ,आक्षेपकः,,"it is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. this may be explained by: (a) vitiated vatadosha affecting motor faculties.",,ITA-5.2.1.25,Convulsions,"A disorder characterized by some or all the following signs
and symptoms: abrupt movements of limbs; wasting of hands;
wasting of feet; wasting of blood vessels; wasting of muscles;
wasting of tendons.",ākṣepakaḥ,आक्षेप्कः
18,149,151,sm75(aac-14),urdhvavatah,ūrdhvavātaḥ,ऊर्ध्ववातः,,"it is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. this may be explained by: (a) reversal of kindling vata, descending vata functions.",,ITA-5.2.1.58,"Upward movement
of vata",A disorder characterized by excessive belchings/eructations.,ūrdhvavātaḥ,ऊरर्वार्ातः
19,151,153,aac-16(sk5y),kalayakha~jjah,kalāyakhañjaḥ,कलायखञ्जः,,,,ITA-5.2.1.43,Kesari palsy,"A disorder characterized by trembling on walking; dragging
walking/lameness; loss of joint control/loose joint ligaments.",kalāyakhañjaḥ,्कलायखञ्जः
20,152,154,aac-17(sp10),kroshtukasirshah,kroṣṭukaśīrṣaḥ,क्रोष्टुकशीर्षः,,,,ITA-5.2.1.40,"Synovitis of the knee
with effusion","A disorder characterized by a large painful swelling in the
knee-joint/swelling in knee which resembles a jackal head;
severe pain in mid-knee.",kroṣṭukaśīrṣaḥ,रिोष्ु्कशीषवाः
21,154,156,sp20(aac-19),khalli,khallī,खल्ली,,"it is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. it may be shifting in nature. this may be explained by: (a) severe vitiation of vatadosha.",,ITA-5.2.1.57,"Twisting pain in upper
and lower limbs","A disorder characterized by some or all the following signs
and symptoms: cramp in feet; cramp in calf; cramp in thigh;
cramp in wrist; cramp in hand.",khallī,खलली
22,155,157,sp41(aac-20),grudhrasi,gṛdhrasī,गृध्रसी,,"it is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. this may be explained by: (a) vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain).",,ITA-5.2.1.38,Sciatica,"A disorder characterized by some or all the following signs
and symptoms: gradual stiffness of gluteal region; lower and
upper back; thigh; knee; calf muscles and feet; constant/
frequent throbbing/twitching sensation; to-and-fro movements/
stretching of thigh; suppression/holding down of thighs.",gṛdhrasī,गृध्रसी
23,158,160,aac-21(sk22),jihvastambah,jihvāstambhaḥ,जिह्वास्तम्भः,,,,ITA-5.2.1.36,Rigid tongue,"A disorder characterized by inability to eat food and liquids;
inability to speak.",jihvāstambhaḥ,वजहर्ासतमभः
24,159,161,sm83(aac-22),tuni,tūnī,तूनी,,"it is characterised by spasmodic pain in loin radiating to pubic region and thigh. it may be associated with haematuria, chills and fever. this may be explained by: (a) obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain.",,ITA-5.2.1.51,"Bladder pain radiating
towards anus and
penis","A disorder characterized by pain travelling down from colon
and urinary bladder; tearing sensation in genitals; tearing
sensation in anus; severe pain in bladder region.",tūnī,तूिी
25,165,167,aac-25(sp9y),padadahah,pādadāhaḥ,पाददाहः,,,,ITA-5.2.1.45,Burning feet,A disorder characterized by burning sensation in feet.,pādadāhaḥ,पाददािः
26,166,168,aac-26(sp9y),padaharshah,pādaharṣaḥ,पादहर्षः,,,,ITA-5.2.1.46,"Peripheral neuritis
of the feet","A disorder characterized by numbness in feet; sensation of
excitement/tingling in feet.",pādaharṣaḥ,पादिषवाः
27,167,169,aac-27(sm83),pratituni,pratitūnī,प्रतितूनी,,,,ITA-5.2.1.52,Proctalgia,"A disorder characterized by pain from the anorectal and
penile region which rapidly radiates upwards.",pratitūnī,प्रवततूिी
28,170,172,sk21(aac-30),pa~gguh,paṅguḥ,पङ्गुः,,"it is characterised by flaccidity, loss of function in both lower limbs. this may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor functions.",,ITA-5.2.1.42,Paraplegia,,paṅguḥ,पङगुः
29,171,173,sl21(aac-31),minminah,minminaḥ,मिन्मिनः,,"it is characterised by hypernasal voice leading to nasal twang. this may be explained by: (a) obstruction to oral, nasal passages, vitiation of vata.",,ITA-5.2.1.50,"Nasal intonation of
speech",A disorder characterized by nasal twang.,minminaḥ,वमवनमिः
30,172,174,aac-32,manyastambah,manyāstambhaḥ,मन्यास्तम्भः,,the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck],,ITA-5.2.1.35,Wry neck; torticollis,"A disorder characterized by torticollis/stiffness of posterior
aspect of neck.",manyāstambhaḥ,मनयासतमभः
31,173,175,sl07(aac-33),mukatvam,mūkatvam,मूकत्वम्,,it is characterised by inability to speak. this may be explained by: (a) vatadosha and kaphadosha affecting speech faculties.,,ITA-5.2.1.49,Dumbness,A disorder characterized by dumbness/aphasia.,mūkatvam,मू्कतर्म्
32,175,177,sk51(aac-35),visvaci,viśvācī,विश्वाची,,"it is characterised by pain in the neck, throat radiating up to the upper limbs, restricted movements. may be associated with, insomnia, temporary loss of hearing, memory. this may be explained by: (a) vitiation of vatadosha, pittadosha affecting neck, upper arms.",,ITA-5.2.1.39,Brachial neuralgia,"A disorder characterized by loss of upper extremity
functioning.",viśvācī,वर्श्ािी
33,179,181,aac-39(sl7y),siragrahah,sirāgrahaḥ,सिराग्रहः,,,,ITA-5.2.1.37,"Obstructed
blood vessel","A disorder characterized by blackish discoloration; dryness;
associated with pain. In certain cases where the vessels of
head are affected the condition becomes complicated
(difficult to treat).",sirāgrahaḥ,वसिाग्रिः
34,232,235,aae-3,gudasthitavatah,gudasthitavātaḥ,गुदस्थितवातः,,"the disorder is characterized by viḍgrahaḥ [retention of feces], mūtragrahaḥ [obstruction/retention in the passage of urine], vātagrahaḥ [retention of flatus], śūlam [sharp pain in anus], ādhmānam [abdominal distension], aśmarī [urolithiasis], śarkarā [mutiple gravely particles in urine], jaṅghārōgaḥ(rujā) [pain in calf muscles], jaṅghāśōṣaḥ [wasting of calf region], ūrurōgaḥ(rujā) [pain in thighs], ūruśōṣaḥ [wasting of thighs], trik-rōgaḥ(rujā) [pain in sacral iliac region of back], trik-śōṣaḥ [wasting of sacroiliac region of back], pādarōgaḥ(rujā) [pain in legs/feet], pādaśōṣaḥ [wasting of legs], pr̥ṣṭharōgaḥ(rujā) [pain in back], pr̥ṣṭhaśōṣaḥ [wasting of back]",,ITA-5.2.1.11,"Aggravation of
vata in rectum","A disorder characterized by some or all the following signs
and symptoms: retention of faeces; obstruction to passage of
urine/retention; retention of flatus; sharp pain in anus;
abdominal distension; urolithiasis; multiple gravely particles in
urine; pain in calf muscles; wasting of calf region; pain in
thighs; wasting of thighs; pain in sacroiliac region of back;
wasting of sacroiliac region of back; pain in legs/feet; wasting
of legs; pain in back; wasting of back.",gudasthitavātaḥ,गुदवसरतर्ातः
35,233,236,aae-4,amasayagatavatah,āmāśayagatavātaḥ,आमाशयगतवातः,,"the disorder is characterized by hr̥daya-ruk [pain in the pericordial region/angina pectoris], nābhi- ruk [pain in the umbilical region], pārśvaruk [pain in sides of chest/flanks], udararuk [pain in the abdomen], tr̥ṣṇā [thirst], udgāraḥ [eructation], visūcikā [loose motions and vomitings caused by ama], kāsaḥ [cough], kaṇṭha-śōṣaḥ [dryness in the throat], āsyaśōṣaḥ [dryness in mouth], śvāsaḥ [breathlessness/difficult breathing], vamathuḥ [vomiting], kaṇṭhōparōdhaḥ [choking sensation of throat/obstruction of throat], nābhērūrdhvavyādhayaḥ [diseases of above nabhi/umbilicus]",,ITA-5.2.1.12,"Aggravation of
vata in stomach","A disorder characterized by some or all the following signs
and symptoms: pain in precordial region/angina pectoris; pain
in umbilical region; pain in sides of chest/flanks; pain in
abdomen; thirst; eructations; loose motions and vomiting
caused by ama; cough; dryness in throat; dryness in mouth;
breathlessness/difficulty in breathing; vomiting; choking
sensation/obstruction of throat; diseases above the
umbilicus or nabhi.",āmāśayagatavātaḥ,आमाशयगतर्ातः
36,234,237,aae-5,pakvasayagatavatah,pakvāśayagatavātaḥ,पक्वाशयगतवातः,,"the disorder is characterized by antrakūjanam [barborygmus/gurgling sound of intestines], śūlaḥ [colicky pain in the abdomen], āṭōpaḥ [gurgling sound of the intestines/barborygmus], mūtrakr̥cchram [dysuria], kr̥cchrapurīṣatvam [diffuculty in passing stool], ānāhaḥ [barborygmus with distention], trikavēdanām [pain in the sacroiliac region], malarōdhaḥ [constipation], aśmarī [urolithiasis], vardhma [herniation], arśas [haemorrhoids], trikagraham [stiffness of sacroiliac region], pr̥ṣṭhagraham [stiffness of back], kaṭigraham [stiffness of low back]",,ITA-5.2.1.13,"Aggravation of
vata in colon","A disorder characterized by some or all the following signs
and symptoms: borborygmi/gurgling intestinal sounds; colicky
pain in abdomen; dysuria; difficulty in passing stool;
borborygmi with distension; pain in sacroiliac region;
constipation; urolithiasis; herniation; haemorrhoids; stiffness
of sacroiliac region; stiffness of lower back.",pakvāśayagatavātaḥ,पक्ाशयगतर्ातः
37,240,243,aae-11,asthigatavatah,asthigatavātaḥ,अस्थिगतवातः,,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk [constant pain], sakthiśūlam [pain in thighs], sandhisaśūlam [pain in joints], asthiśūlam [pain in the bones], tīvraṁ balakṣayam [severe loss of physical strength], asthiśōṣaḥ [diminution of asthi/osteoenia/osteoporosis]",,ITA-5.2.1.19,"Aggravation of
vata in bone","A disorder characterized by some or all the following signs
and symptoms: cracking type of pain in bone and small joints;
extreme wasting of muscles/diminution of muscle mass; loss
of physical strength or weakness; insomnia/sleeplessness;
constant pain; pain in thighs; pain in joints; severe loss of
physical strength; diminution of asthi/osteopenia/
osteoporosis.",asthigatavātaḥ,अवसरगतर्ातः
38,241,244,aae-12,majjagatavatah,majjāgatavātaḥ,मज्जागतवातः,,"the disorder is characterized by asthiparvaṇāṁ bhēdaḥ [cracking type of pain in the bones and small joints], sandhiśūlam [pain in the joints], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], balakṣayaḥ [loss of physical strength or weakness], asvapnaḥ [insomnia/sleeplessness], santatā ruk/rujam [constant pain], asthisauṣiryaḥ [porousness of bones], stabdhatā [stiffness]",,ITA-5.2.1.20,"Aggravation of vata in
bone marrow","A disorder characterized by some or all the following signs
and symptoms: cracking type of pain in bone and small joints;
pain in joints; extreme wasting of muscles/diminution of
muscle mass; loss of physical strength or weakness;
insomnia/sleeplessness; constant pain; porousness of
bones; stiffness.",majjāgatavātaḥ,मज्ागतर्ातः
39,242,245,aae-13,sukragatavatah,śukragatavātaḥ,शुक्रगतवातः,,"the disorder is characterized by garbham badhnāti [delayed labour/postterm delivery], garbhakṣipraṁ muñcati [miscarriage/abortion/preterm delivery], śukraṁ badhnāti/śukrasya saṅgam [delayed ejaculation], śukraṁ kṣipraṁ muñcati/śukrasya śīghramutsargam [premature ejaculation], vikr̥tiṁ janayēt [congenital anamolies in offspring], śukrasya apravr̥ttiḥ [inability to ejaculate]",,ITA-5.2.1.21,"Aggravation of vata in
seminal tissue","A disorder characterized by some or all the following signs
and symptoms: delayed labour/postterm delivery, miscarriage/
abortion/preterm delivery; delayed ejaculation; premature
ejaculation; congenital anomalies in offspring; inability
to ejaculate.",śukragatavātaḥ,शुरिगतर्ातः
40,243,246,aae-14,snayugatavatah,snāyugatavātaḥ,स्नायुगतवातः,,"the disorder is characterized by bāhyāyāmaḥ [external bending of body], antarāyāmaḥ [internal bending of body], khallī [shooting pain in extremities], kubjatvam [hump backed], sarvāṅgarōgaḥ [quadriplegia], ēkāṅgarōgaḥ [monoplegia], stambhaḥ [rigidity/stiffness], kampaḥ [tremors], śūlam [sharp pain], ākṣēpaṇam [convulsion], gr̥dhrasī [sciatica]",,ITA-5.2.1.22,"Aggravation of vata
in tendons and
ligaments.","A disorder characterized by some or all the following signs
and symptoms: external bending of body, internal bending
of body; shooting pain in extremities; kyphosis; quadriplegia;
monoplegia; rigidity/stiffness; tremors; sharp pain;
convulsions; sciatica.",snāyugatavātaḥ,निायुगतर्ातः
41,244,247,aae-15,siragatavatah,sirāgatavātaḥ,सिरागतवातः,,"the disorder is characterized by mandaruk [mild pain], mandaśōpham [mild oedema], śarīraṁ śuṣyati [dryness/emaciation of body], spandatē tathā supta sirā [presence or absence of pulsation in the blood vessels/arteries], tanvyō mahatyō vā sirā [thinness or excessive thickness of the vessels or narrowing or dilatation of blood vessels/arteries], śūlam [sharp pain], sirākuñcanam [contraction/narrowing of sira/blood vessels (kuṭila sirā- tortous sira)], sirāpūraṇam [bulky /prominent blood vessels], sirāsu ādhmānam [fullness of blood vessels], sirāsu riktatā [emptyness of blood vessels]",,ITA-5.2.1.23,"Aggravation of vata in
veins","A disorder characterized by some or all the following signs
and symptoms: mild pain; mild oedema; dryness/emaciation
of body; presence or absence of pulsation in blood vessels;
thinness or excessive thickness and narrowing or dilatation
of blood vessels; sharp pain; contraction/narrowing of blood
vessels or sira; bulky/prominent blood vessels; fullness of
blood vessels; emptiness of blood vessels.",sirāgatavātaḥ,वसिागतर्ातः
42,245,248,sp12(aae-16),sandhigatavatah,sandhigatavātaḥ,सन्धिगतवातः,,"it is characterised by pain, swelling, stiffness, hardening and restricted movements of the joint. this may be explained by: (a) increased vata affecting the joint leading to degenerative changes.",,ITA-5.2.1.24,"Aggravation of vata in
joints","A disorder characterized by some or all the following signs
and symptoms: swelling as if filled with air on palpation;
swelling in joints; flexion and extension of joints with pain;
joint pain; loss of joint mobility.",sandhigatavātaḥ,सवनधगतर्ातः
43,251,254,ab,pittavikarah,pittavikāraḥ,पित्तविकारः,,,,ITA-5.2.2.1,Derangement of pitta,,pittavikāraḥ,वप्तवर््कािः
44,253,256,sr16(aba-1),pittasa~jcayah,pittasañcayaḥ,पित्तसञ्चयः,,it is characterized by yellowish discoloration of body and mild raised body temperature. this may be explained by accumulation of pittadosha at the designated site.,,ITA-5.2.2.3,Accumulation of pitta,"A disorder characterized by yellowishness of body,
hypothermia or mild warmth.",pittasañcayaḥ,वप्तसञ्यः
45,256,259,sr18(aba-3),pittaprasarah,pittaprasaraḥ,पित्तप्रसरः,,"it is characterized by localised or whole body burning sensation, feeling of smoky eructation. this may be explained by spreading of pittadosha from place of accumulation to other parts or entire body.",,ITA-5.2.2.5,Spreading of pitta,"A disorder characterized by some or all the following signs
and symptoms: burning sensation; sucking type of pain;
severe burning sensation; vomiting of medicated smoke or
dhūma; sensation of heat in mouth.",pittaprasaraḥ,वप्तप्रसिः
46,257,260,sr19(aba-4),pittakshayah,pittakṣayaḥ,पित्तक्षयः,,"it is characterized by reduced body temperature and reduced digestive power, reduced luste of the body. this may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",,ITA-5.2.2.6,Diminution of pitta,"A disorder characterized by some or all the following signs
and symptoms: diminution of warmth; diminution of agni;
diminished complexion or loss of body lustre; rigidity or
stiffness; coldness; irregular or inconsistent pain; burning
sensation; loss of taste; indigestion; roughness of body;
tremors; heaviness; whitish nails; whitish eyes.",pittakṣayaḥ,वप्तक्षयः
47,259,262,abb-1(sk7y),akshipakah,akṣipākaḥ,अक्षिपाकः,,,,ITA-5.66.24,"Reddish coloration
of eye",,akṣipākaḥ,अवक्षपा्कः
48,271,274,abb-13,kamala,kāmalā,कामला,,,,ITA-5.15.1,Jaundice,"Excessive secretion of bile or obstruction to bile resulting
in jaundice.",kāmalā,्कामला
49,282,285,abb-24(sp9y),dahah,dāhaḥ,दाहः,,,,ITA-5.27.1,Burning sensation,"A disorder characterized by warmth amounting to a burning
sensation.",dāhaḥ,दािः
50,292,295,abb-34,raktapittam,raktapittam,रक्तपित्तम्,,,,ITA-5.16.1,"Haemorrhage from
external and internal
orifices, bleeding
disorders","A disorder characterized by some or all the following signs
and symptoms: bleeding from body orifices in its upper part,
i.e. mouth, nose, eyes and ears; bleeding from body orifices
in its lower part, i.e. anus, penis and vagina; bleeding from
both body parts; bleeding through hair follicles.",raktapittam,ि्तवप्तम्
51,317,320,sr1b(aca-1),kapasa~jcayah,kaphasañcayaḥ,कफसञ्चयः,,it is characterized by heaviness of the body and lethargy. this may be explained by accumulation of kapha at the designated site.,,ITA-5.2.3.2,Accumulation of kapha,A disorder characterized by heaviness; lethargy.,kaphasañcayaḥ,्कफसञ्यः
52,319,322,sr1a(aca-2.1),kapaprakopah,kaphaprakopaḥ,कफप्रकोपः,,it is characterized by aversion to food and nausea. this may be explained by aggravation of kaphadosha at its designated site and preparing to cause certain morbidity.,,ITA-5.2.3.3,Aggravation of kapha,A disorder characterized by aversion to food; nausea.,kaphaprakopaḥ,्कफप्र्कोपः
53,320,323,sr1d(aca-3),kapaprasarah,kaphaprasaraḥ,कफप्रसरः,,"it is characterized by tastelessness, indigestion, feeling of tiredness, vomiting. this may be explained by spreading of kaphadosha from the place of accumulation to other parts or entire body.",,ITA-5.2.3.4,Spreading of kapha,"A disorder characterized by loss of taste; indigestion; bodily
exhaustion or tiredness/inability to perform physical
activities; vomiting.",kaphaprasaraḥ,्कफप्रसिः
54,321,324,sr1e(aca-4),kapakshayah,kaphakṣayaḥ,कफक्षयः,,"it is characterized by dryness of body, burning sensation inside the body, laxity of joints, thirst, weakness, reduced sleep. this may be explained by marked decrease of pittadosha functions and consequent physiological and pathological ramifications.",,ITA-5.2.3.5,Diminution of kapha,"A disorder characterized by some or all the following signs
and symptoms dryness; burning sensation inside the body;
feeling of emptiness/vacuity in all the seats of śleśma
especially the stomach or amaśaya; joint dislocation/laxity;
thirst; weakness; sleeplessness/insomnia; giddiness or
dizziness; cramps; generalized body aches; completely dried
up; pricking pain; heat/fever; burning sensation; bursting type
of pain; shivering/tremors; smoky/fuming sensation; heart
palpitations.",kaphakṣayaḥ,्कफक्षयः
55,326,329,acb-4,udardah,udardaḥ,उदर्दः,,,,ITA-5.59.23,"Kapha-predominant
urticaria","A skin disease characterized by lesions resembling an insect/
wasp sting; itching; severe pricking type of pain; vomiting;
fever; internal burning sensation; oedematous lesions
appearing on the skin; dominance of kapha dosha; raised
lesions; redness/congestion; itching; circular patches; internal
burning sensation.",udardaḥ,उददःवा
56,337,340,acb-15(sq4y),tandra,tandrā,तन्द्रा,,,,ITA-5.25.10,Drowsiness,"A disorder characterized by some or all the following signs
and symptoms: inability to perceive the objects of the senses;
exhaustion without exertion; heaviness; yawning; sleepiness.",tandrā,तनद्रा
57,341,344,acb-19,balasakah,balāsakaḥ,बलासकः,,,,ITA-5.66.57,Conjunctival cyst,"A disorder characterized by a growth resembling a water drop
and having a bell metal lustre occurring in the white sclera of
eye and neither soft nor painful; resembling water drops; hard
swelling; painless swelling; reddish swelling; extensive
swelling; heaviness; smooth/unctuous/oily.",balāsakaḥ,बलास्कः
58,380,383,sr40(b),dhatuvaishamyam,dhātuvaiṣamyam,धातुवैषम्यम्,,disturbance of homeostasis leading to an abnormal or pathological or diseased state,,ITA-5.3.1,"Derangement of
structural
components",,dhātuvaiṣamyam,धातुर्ैषमयम्
