term_id,english_term,description,transliteration,native_term
ISMT-1.2.3,extrinsic cause,Extrinsic causes of disease.,Puṟakkāraṇam,புற்ககாரணம்
ISMT-1.2.4,"equilibrium
of humours","With respect to the time of onset or seasonal variation in
restoration of vaḷi, aẕal or aiyam to balanced state to own
site in the body after treatment",Camaṉam,்சம்ம்
ISMT-1.2.5,"derangement of
uyirtātu - three
humours","An impairment/vitiation of uyirtātu vaḷi, aẕal or aiyam",Kuṟṟam,குற்றம்
ISMT-1.2.6,"imbalanced state
of humours","Disease or imbalanced condition of the uyirttātu vaḷi/vātam,
aẕal/pittam and aiyam/kapam",Tōṭam/ muttōṭam,"ததாடம் /
முதததாடம்"
ISMT-1.2.7,"aggravation
of humours","Expansion of the three humours (vaḷi/vātam, aẕal/pittam and
aiyam/kapam) at a different site or period from its own
sites in body",Pirakōpam,பிரதகாபம்
ISMT-1.2.8,"disequilibrium of
humours in their
place","With respect to the time of onset or seasonal variation in
disequilibrium of vaḷi, aẕal or aiyam at its own site
in the body",Canti,்சநதி
ISMT-1.2.9,aggravated vaḷi,"Characteristics of aggravated vaḷi such as loss of weight
darkening of skin, constipation, disturbed sleep, giddiness,
distention of abdomen, etc.",Miku vaḷi,மிகு வளி
ISMT-1.2.10,diminished vaḷi,"Characteristics of diminished vaḷi such as body ache, low
voice, poor concentration, diseases due to aggravation of
aiyam, etc.",Kuṟai vaḷi,குைற வளி
ISMT-1.2.11,aggravated aẕal,"Characteristics of aggravated aẕal such as jaundice,
increased appetite, thirst, generalized burning pain
and poor sleep",Miku aẕal,மிகு அழல்
ISMT-1.2.12,diminished aẕal,"Characteristics of diminished aẕal such as poor digestion,
chillness, depigmentation; creates conditions favorable for
decrease in aiyam",Kuṟai aẕal,குைற அழல்
ISMT-1.2.13,aggravated aiyam,"Characteristics of aggravated aiyam such as decrease in
digestive fire, hypersalivation, heaviness of body, chillness
cough, dyspnoea, excessive sleeping etc.",Miku aiyam,மிகு ஐயம்
ISMT-1.2.14,diminished aiyam,"Characteristics of diminished aiyam such as giddiness,
crepitation and prominence of joints, excessive sweating,
emptiness in chest, palpitation etc.",Kuṟai aiyam,குைற ஐயம்
ISMT-1.2.15,"humoral diagnosis
with tooth colour","Colour of teeth in patients suffering from: 1. Black in vaḷi
diseases; 2. Yellow in aẕal diseases; 3. White in aiyam
diseases; 4. Mixed colours in thontham (mingling) diseases","Palliṉ niṟattāl
mukkuṟṟam aṟital","பல்லின நிறததால்
மு்ககுற்றம் அறிதல்"
ISMT-1.2.16,voice in vaḷi disease,Patients with vaḷi disease have medium-pitched voice,Vaḷi nōy col oli,"வளி
தநாய ப்சால் ஒலி"
ISMT-1.2.17,voice in aẕal disease,Patients with aẕal disease have high-pitched voice,Aẕalnōy col oli,"அழல்
தநாய ப்சால் ஒலி"
ISMT-1.2.18,voice in aiyam disease,"Patients with aiyam disease have mellifluous and low-
pitched voice",Aiya nōy col oli,ஐய தநாய ப்சால் ஒலி
ISMT-1.2.19,"eye characteristics in
vaḷi disease","Eye with blackish scleral discoloration, dull vision and
dribbling of tears in vaḷi disease",Vātanōyiṉaṉ kaṇ kuṇam,"வாததநாயி்ன
கண குணம்"
ISMT-1.2.20,"eye characteristics in
aẕal disease","Eye with yellowish and reddish scleral discoloration in
aẕal disease",Aẕal nōyiṉaṉ kaṇ kuṇam,"அழல்தநாயி்ன
கண குணம்"
ISMT-1.2.21,"eye characteristics in
aiyam disease",Eye with pallor and mucoid excrement in aiyam disease,Aiya nōyiṉaṉ kaṇ kuṇam,"ஐய தநாயி்ன
கண குணம்"
ISMT-1.2.22,humoral signs of ears,"1. Ears dull with pus and rheum in vaḷi; 2. Itching of ears in
aẕal; 3. Ears swollen with pricking pain and
bleeding in aiyam.","Kātiṉ tōṟṟattāl
mukkuṟṟam aṟital","காதின ததாற்றததால்
மு்ககுற்றம் அறிதல்"
ISMT-1.2.23,wrist circumetric signs,diagnosis based on circumference of wrist,Maṇikkaṭai nūl,மணி்ககைட நூல்
ISMT-1.2.24,urine diagnosis,"Inference about the physical characteristics of colour,
density, odour, froth and deposits/amount of urine",Nīrkkuṟi,நீர்்ககுறி
ISMT-1.2.25,oil drop urine test,"Urine should be collected properly according to the norms; it
should be kept in a place where there is no wind, which
could cause the urine to stir; one drop of gingelly oil should
be placed on the centre of the urine; spreading pattern of the
oil on the urine should be observed carefully to diagnose
and prognose ailments",Neyk kuṟi,பநய்ககுறி
ISMT-1.2.26,"yellowish
urine variants","There are six types of yellowish urine; describe the range of
yellow colour indicating different morbidities",Mañcaḷ nīr vikaṟpam,மஞ்சள நீர் விகற்பம்
ISMT-1.2.27,reddish urine variants,"There are four types of red coloured urine; describe the
range of red colour indicating different morbidities",Cemmai niṟa nīr vikaṟpam,"ப்சம்ைம நிற
நீர் விகற்பம்"
ISMT-1.2.28,"greenish urine
variants","There are five types of green-coloured urine; describe the
range of green colour indicating different morbidities",Paccai niṟa nīr vēṟṟumai,"பசை்ச நிற
நீர் தவற்றுைம"
ISMT-1.2.29,"blackish urine / dark
urine variants","There are four types of black-coloured urine; describe the
range of black colour indicating different morbidities",Karumai niṟa nīr vēṟṟumai,"கருைம நிற
நீர் தவற்றுைம"
ISMT-1.2.30,"whitish urine / light
coloured urine
variants",,Veṇmai niṟa nīr vikaṟpam,"பவணைம நிற
நீர் விகற்பம்"
ISMT-1.2.31,urine colour in phthisis,Milky urine indicates phthisis,Cayam nīr niṟam,்சயம் நீர் நிறம்
ISMT-1.2.32,"urine in kidney
disease","Urine is like rotten meat wash due to weakness of
the kidneys",Kuṇṭikkāy turpalam nīr,"குணடி்ககாய
துர்பலம் நீர்"
ISMT-1.2.33,"stool examination/
signs",,Malakkuṟi,மல்ககுறி
ISMT-1.2.34,"stool characteristics of
vaḷi disease","Stools appear black in colour and there is constipation; this
is explained by increased vaḷi",Vaḷi nōy malakkuṟi,வளி தநாய மல்ககுறி
ISMT-1.2.35,"stool characteristics of
aẕal disease","Faecal matter is scanty and hot with red and yellow colour,",Aẕalnōy malakkuṟi,"அழல்
தநாய மல்ககுறி"
ISMT-1.2.36,"stool characteristics of
aiyam disease","Faecal matter with mucous and pale colour, indicating aiyam",Aiya nōy malakkuṟi,ஐய தநாய மல்ககுறி
ISMT-1.2.37,palpation,"On palpation, physician can elicit pulse (nāṭi), temperature of
the skin, and state of internal organs.",Meyvaẕiyaṟital,பமய வழியறிதல்
ISMT-1.2.38,auscultation,"Physician can hear the sounds of heart and lungs through
auscultation; also sounds of articulations joints",Cevivaẕiyaṟital,ப்சவி வழியறிதல்
ISMT-1.2.39,amenable,Good prognosis of patient’s condition,Cāttiyam,்சாததியம்
ISMT-1.2.40,intractable,Bad or poor prognosis of patient’s condition,Kaṣṭa cāttiyam,கஷட ்சாததியம்
ISMT-1.2.41,"attributes of patient’s
attendant","Observations made by the physician on the attitudes / body
language of patient’s attender/messenger indicating the
status of patient",Tūtu laṭcaṇam,தூது லட்சணம்
ISMT-1.2.42,"good prognostic stool
signs",,Cāvāmai malakkuṟi,்சாவாைம மல்ககுறி
ISMT-1.2.43,"signs of imminent
death related to stool",,Cātal malakkuṟi,்சாதல் மல்ககுறி
ISMT-1.2.44,"signs of imminent
death related to
discoloration/
appearance of
the skin",,Mey niṟattāl cātalai aṟital,"பமய நிறததால்
்சாதைல அறிதல்"
ISMT-1.2.45,"signs of imminent
death related to taste",,"Cuvaiyaik koṇṭu cātal
kuṟiyaṟital","சுைவைய்க பகாணடு
்சாதல் குறியறிதல்"
ISMT-1.3.1,"characters of
individual","Innate characters of an individual are of three types:
1. possessing benevolent qualities like humility, patience,
truth, mercy, wisdom, love, self-control, and austerity;
exercising control over five sense organs; 2. possessing
ruler-like qualities of wisdom, education, courage, justice,
honesty, generosity, perseverance and austerity; 3.
possessing bad qualities like anger, laziness, lust, lying,
overeating, excessive sleep, injustice, immorality, murder
and stealing",Kuṇam,குணம்
ISMT-1.3.2,"state of conscious-
ness","Five levels of state of consciousness are: 1. wakeful or
conscious state; 2. dreamy state; 3. sleepy state; 4
meditative state; 5. deep meditative state",Avattai,அவதைத
ISMT-1.3.3,"five vestures/ sheaths
of body","Different levels of consciousness ranging from gross
physical body to subtle levels of mind, including emotional
and spiritual aspects; five divisions are: 1. The gross
material body constituted by seven physical constituents; 2.
Respiration and motor organs; 3. Mind and five organs of
perception; 4. Intellect and five organs of perception; 5.
Life force",Kōcam,தகா்சம்
ISMT-1.3.4,mind,"One of the four intellectual faculties responsible for thinking
of an entity or simply a thought",Maṉam,ம்ம்
ISMT-1.3.5,thought,,Cintai,்சிநைத
ISMT-1.3.6,intelligence,One of the four intellectual faculties analysing thought,Putti,புததி
ISMT-1.3.7,intellectual powers,"Volition, perception, self awareness self- consciousness
and reasoning",Antakkaraṇam,அநத்ககரணம்
ISMT-1.3.8,knowledge,"Knowledge/intellect, knowing one’s self or the soul",Aṟivu,அறிவு
ISMT-1.3.9,preaching,,Pōtam,தபாதம்
ISMT-1.3.10,wisdom,,Ñāṉam,ஞா்ம்
ISMT-1.3.11,impurities of mind,"Attributes of the life force or the soul; there are three types:
1. Egotism of the individual, associated with affinity for
worldly things; obscures the mind from realizing one’s self;
2. Desire for everything; leads one to commit good or bad
deeds; 3. Illusion; leads one to trouble by producing undue
desires, ruins the person and produces lust for women,
weakens the semen and destroys the body",Malam,மலம்
ISMT-1.3.12,desire,"Affinity or desire for the world and worldly things. It has three
main divisions: 1. Desire for material things; 2. Affinity or
affection for one’s own children; 3. Affinity or desire for
worldly experiences",Ēṭaṇai,ஏடைண
ISMT-1.3.13,evil passions,"Bad qualities, leading to diseases of mind and body; the
main eight types of these qualities are: 1. Excessive desire,
lust; 2. Dispute; 3. Greed; 4. Sensuality, infatuation; 5.
Arrogance; 6. Jealousy; 7. Pride; 8. Egotism",Irākam,இராகம்
ISMT-1.4.1,breath,,Kalai,கைல
ISMT-1.4.2,art of breathing,,Cōṭaca kalai,த்சாட்ச கைல
ISMT-1.4.3,inhalation,"Inspiratory phase of breathing, during the practice of
yogic breathing",Pūrakam,பூரகம்
ISMT-1.4.4,retention of breath,"The phase stage of retention of breath during the practice of
yogic breathing; while practicing, breath has to be retained
for a duration that is four times longer than inspiration time",Kumpakam,கும்பகம்
ISMT-1.4.5,exhalation,"The expiratory phase of breathing; during the practice of
yogic breathing, this phase follows retention of breath",Irēcakam,இதர்சகம்
ISMT-1.4.6,deep meditation,"The state of yoga in which external stimuli have practically
no effect on the individual who has mastered it",Nātānta yōkam,நாதாநத தயாகம்
ISMT-1.4.7,incessant meditation,"A form of spiritual conduct used to attain the bliss of
enlightenment by means of meditation and raising the
serpent power or life force residing at the coccygeal region
of the body through various chakras up to the crown over
the forehead; this results in the secretion of an elixir of life",Rāca yōkam,ரா்ச தயாகம்
ISMT-1.4.8,karma yoga,Practice of good deeds to attain enlightenment,Karma yōkam,கர்ம தயாகம்
ISMT-1.4.9,"ashtanga yoga / eight
stages of yoga","The eight stages of yoga practice that can lead to
enlightenment, namely iyamam, niyamam, ācaṉam,
pirāṇāyāmam, pirattiyākāram, tāraṇai, tiyāṉam and camāti","Aṭṭāṅkam / aṣṭaṉākam /
aṣṭāṅka yōkam /
aṭṭāṅka yōkam","அடடாஙகம் /
அஷட்ாகம் /
அஷடாஙக தயாகம் /
அடடாஙக தயாகம்"
ISMT-1.4.10,"purity of thoughts /
temperance","First phase of aṭṭāṅka yōkam: - the practice of cleansing or
purifying the mind by staying away from violence, falsehood
and stealthy habits; a state of non-violence and avoiding
harm to other living beings, one of the 10 iyamam mentioned
in Siddha literature",Iyamam,இயமம்
ISMT-1.4.11,purity of action,"Second phase of aṭṭāṅka yōkam: observtion of purity or
truthfulness in one’s activities",Niyamam,நியமம்
ISMT-1.4.12,yogic posture,"Third phase of aṭṭāṅka yōkam: keeping the body or part of it
steady and motionless in a particular posture for a
specific time",Ātaṉam / ācaṉam,ஆத்ம் / ஆ்ச்ம்
ISMT-1.4.13,"yogic breathing /
pranayama","Fourth phase of aṭṭāṅka yōkam: breath regulation, a yogic
practice whereby breathing is controlled",Pirāṇāyāmam,பிராணாயாமம்
ISMT-1.4.14,withdrawal of senses,"Fifth phase of aṭṭāṅka yōkam: withdrawal of senses from all
external distractions and consolidation of the mind",Pirattiyākāram,பிரததியாகாரம்
ISMT-1.4.15,focused thoughts,"Sixth phase of aṭṭāṅka yōkam: fixing the mind constantly on
a particular object, thought or activity in order to prevent the
thoughts from wandering",Tāraṇai,தாரைண
ISMT-1.4.16,meditation,"Seventh phase of aṭṭāṅka yōkam: profound and abstract
contemplation of a deity or of an image formed in the mind",Tiyāṉam,தியா்ம்
ISMT-1.4.17,eternal bliss,"Last phase of aṭṭāṅka yōkam: a state of oneness with the
universal soul, which is spiritual ecstasy",Camāti,்சமாதி
ISMT-1.4.18,transfixed meditation,"A kind of meditation practice where an individual uses a
technique for training to achieve a serene and stable state",Niṭṭai,நிடைட
ISMT-1.4.19,tantra,,Cakalacittu,்சகல்சிதது
ISMT-1.4.20,kuṇṭaliṉi,"A dormant form of energy located in the mūlātāram (beneath
the perineal surface region - between anterior part of anal
verge and genital region); it can be raised in serpentine form
by doing specific yogic spiritual energy/power","Kuṇṭali catti /
kuṇṭali/ kuṇṭaliṉi","குணடலி ்சததி /
குணடலி /
குணடலி்ி"
ISMT-1.4.21,energy channels,"Vital life energy that passes through the nostrils; if it passes
through the right nostril the pattern of breath is called
piṅkalai; if it passes through the left nostril it is called iṭakalai",Vāci,வா்சி
ISMT-1.4.22,"humoral energy
channels","Ten humoral energy channels which aid the flow of vital
force/energy in the body: iṭakalai; piṅkalai; cuḻumuṉai;
cikuvai; puruṭaṉ;kāntāri; atti; alampuṭai; caṅkiṉi; kuku",Nāṭi/tacanāṭi,நாடி/த்ச நாடி
ISMT-1.4.23,"life force flowing
through left nostril","One of the three major energy channels (of 10) in the body
originating from right toe and passing through the left of
spinal column, finally entering left nostril",Iṭakalai / cantirakalai,"இடகைல /
்சநதிரகைல"
ISMT-1.4.24,"life force flowing
through right nostril","One of the three major energy channels (of 10) in the body
originating from left toe and passing through the right of
spinal column, finally entering right nostril","Piṅkalai /
cūriyakalai / āṇrūpam","பிஙகைல /
சூாியகைல /
ஆணரூபம்"
ISMT-1.4.25,"life force flowing
through median
channel","One of the three major energy channels (of 10) in the body
originating from the nerve centre in the sacral region and
proceeding to the cerebral region","Cuḻumuṉai /
aṉukkiraka cuḻi","சுழுமுை் /
அனு்ககிரக சுழி"
ISMT-1.4.26,"tongue energy
channel","One of the 10 energy channels located at root of tongue, for
swallowing food and water",Cikuvai,்சிகுைவ
ISMT-1.4.27,"right eye energy
channel","One of the 10 energy channels, located in the right eye",Puruṭaṉ,புருடன
ISMT-1.4.28,"left eye energy
channel","One of the 10 energy channels, located in the left eye",Kāntāri,காநதாாி
ISMT-1.4.29,"right ear energy
channel.","One of the 10 energy channels, located in the right ear",Atti,அததி
ISMT-1.4.30,"left ear energy
channel","One of the 10 energy channels, located in the left ear",Alampuṭai,அலம்புைட
ISMT-1.4.31,"urogenital energy
channel","One of the 10 energy channels, located in the genital organs",Caṅkiṉi,்சஙகி்ி
ISMT-1.4.32,rectal energy channel,"One of the 10 energy channels, located in the
anorectal region",Kuku,குகு
ISMT-1.4.33,chakras,"Six positions or levels through which the kuṇṭaliṉi can be
raised to reach the centre of perfection, where the soul can
realize immortal state; represented by the six chakras, the
organs of the subtle body",Ātāram,ஆதாரம்
ISMT-1.4.34,mūlātāram,"Situated in the inner part of perineal region at the base of
the spinal column",mūlātāram,மூலாதாரம்
ISMT-1.4.35,cuvātiṭṭāṉam,"Situated two finger-breadths above mūlātāram, a constituent
of earth element",cuvātiṭṭāṉam,சுவாதிடடா்ம்
ISMT-1.4.36,maṇipūrakam,"situated eight finger-breadths above the cuvātiṭṭāṉam. egg
shaped where 1008 vital channels emerge, a constituent of
water element",maṇipūrakam,மணிபூரகம்
ISMT-1.4.37,aṉākatam,"Located 10 finger-breadths above maṇipūrakam, a
counstituent of fire element",aṉākatam,அ்ாகதம்
ISMT-1.4.38,vicutti,"Located 10 finger-breadths above aṉākatam, a constituent
of air element",vicutti,விசுததி
ISMT-1.4.39,akkiṉai,"Located 12 finger-breadths above vicutti between the
eyebrows, a constituent of space element",akkiṉai,ஆ்ககிை்
ISMT-1.4.40,"energy pathway
connecting chakras","The longitudinal axis along the body extending from
coccygeal region to centre of eyebrows",Ōṅkārakampam,ஓஙகாரகம்பம்
ISMT-1.5.1,philosophy,"Principles considered immutable; Siddha system follows 96
basic principles",Tattuvam,தததுவம்
