term_id,english_term,description,transliteration,native_term
IUMT-2.0.7,"(1) members or units of
a class having common
characteristics and
being divisible into
subordinate
kinds; (2) gender","(1) A type of universal concept where members
or units of a class vary in their reality and the
variation is the part of reality of members, e.g.,
animal whose members are animals along with
humans;they differ in their reality but being an
animal is part of all of these diverse realities; (2)
either of two main divisions (male and female) of
humans and many of living organisms",Al-Jins,سنجلا
IUMT-2.0.8,"(1) distinguishing
character of a
group; (2) season","(1) A type of universal concept having members
similar in reality and this similarity is part of the
reality of its members, e.g., being rational is part
of the reality of human and members of
humanity are similar in reality; (2) singular of
Al-Fuṣūl and means any one of four seasons
(Al-Fuṣūl al-Arba‘a) of the year (spring, autumn,
summer and winter); this term does not cover
Al-Fuṣūl al-Arba‘a mentioned under preservation
and promotion of health",Al-Faṣl,لصفلا
IUMT-2.0.9,"particular incidence/
particular occurrence","A type of universal concept that is special for
one reality and is outside of its main essence,
e.g., laughing which is special for human but is
not part of its reality and essence",Al-‘Arḍ al-Khāṣ,صاخلا ضرعلا
IUMT-2.0.10,"common incidence/
common occurrence","A type of universal concept that is not special for
one reality and is outside of its main essence,
e.g., walking which includes realities
other than human",Al-‘Arḍ al-‘Ām,ماعلا ضرعلا
IUMT-2.0.11,partial,"Statement having one meaning, which is
applied to only a particular member",Al-Juz’ī,یئزجلا
IUMT-2.0.12,affirmation,Affirmation that helps to ascertain unknown facts,Al-Ḥujja,"ّ
ۃجحلا"
IUMT-2.0.13,"deduction of the state of
universal concept from
the state of divisive
concepts","Reaching a conclusion regarding the state of
universal concept from the state of divisive
concepts; the conclusion will have specific
feature in its universal concept, e.g., conclusion
regarding the growth of the human being, while
seeing the members of the human growing in a
gradual manner",Al-Istiqrā’,ءارقتسلاا
IUMT-2.0.14,syllogistic inference,"Deduction of the state of divisive concept from a
state of universal concept, i.e., reaching a
conclusion regarding the state of divisive
concept from the state of universal concept,
e.g., concluding that John, a divisive concept of
the human, is a rational animal because the
human is a rational animal",Al-Qiyās,سایقلا
IUMT-2.0.15,"deduction of the state of
other divisive concepts
from a state of the
divisive concept","Reaching a conclusion regarding the state of
the divisive concept through the state of other
divisive concepts, e.g., concluding that cannabis
is illegal due to its similarity with liquor which is
also illegal",Al-Tamthīl,لیثمتلا
IUMT-2.0.16,opined statement,"Statement expressing an opinion; may be true
or false and may be confirmed or rejected",Al-Qaḍiyya,ۃیضقلا
IUMT-2.0.17,contradictory proposition,"Difference in two propositions where the truth of
one of the two requires the falsehood
of the other",Al-Tanāquḍ,ضقانتلا
IUMT-2.0.18,philosophy,"Reasoning to understand sensible objects;
science which deals with sensible objects
through applying logical reasoning",Falsafa,ہفسلف
IUMT-2.0.19,"(1) distinctive attribute;
(2) condition due to any
other disease/symptom","(1) Thing that does not exist on its own and
depends on other things for its existence, e.g.,
colour; (2) An abnormal condition which appears
due to any other disease, e.g., headache
occurring due to fever",‘Arḍ,ضرع
IUMT-2.0.20,"(1) thing existing on its
own; (2) active
parts of drug","(1) Thing that exists on its own and does not
depend on any other thing for its existence, e.g.,
body; (2) Part of the drug obtained through
specific processing methods which is
comparatively more active than its other parts;
(1) does not cover Jawāhir/Jawhara mentioned
under Unani pharmacology",Jawhar,رہوج
IUMT-2.0.21,"substance/material
acquiring various forms","Substance/material which acquires various
forms and cannot exhibit itself without them",Mādda,ہدّ ام
IUMT-2.0.22,body(ies),"Divisible thing(s); things divisible into length,
width and depth",Jism/Ajsām,ماسجا /مسج
IUMT-2.0.23,prime matter,Matter that can take any shape or form,Hayūlā,یٰ لویھ
IUMT-2.0.24,visible shape,"The determinate structure which gives things
their essential characteristics",Ṣūrat,تروص
IUMT-2.0.25,physical form,"Form of a body which accepts the length,
width and depth",Ṣūrat Jismiyya,ہیمسج تروص
IUMT-2.0.26,specific form,"Form common to various objects of a specific
group that differentiates it from other groups",Ṣūrat Naw‘iyya,ہیعون تروص
IUMT-3.0.0,"basic principles of
Unani medicine",,"Al-Umūr al-Kulliyya min
‘Ilm al-Ṭibb","ّ
ملع نم ۃیلکلا روملاا
بطلا"
IUMT-3.1.0,factors of existence,"Seven factors considered to be essential for the
composition of the human body, which are
responsible for its existence, i.e., primary
components/elements, temperament, humours,
organs, pneuma, faculties and functions",Umūr Ṭabī‘iyya,ہیعیبط روما
IUMT-3.1.1,"primary components /
elements","Simple bodies that cannot be subdivided into
bodies having different forms and are primary
substances of human and non-human bodies,
producing different forms in nature through their
intermixture. (“Al-Arkān” has also been
translated as “elements” by many writers.
However, in the context of Unani medicine, this
is not taken as the elements of the periodic
table, rather for primary components, i.e., fire,
air, earth and water)","Al-Arkān / Ajsām Basīṭa/
Ajzā’ Awwaliyya/
Usṭuqussāt / ‘Anāṣir","/ہطیسب ماسجا / ناکرلاا
/تاسقطسا /ہیلوّ اءازجا
رصانع"
IUMT-3.1.2,"four primary components /
elements","Primary components of human and non-human
bodies, i.e., fire, air, earth and water, producing
different forms in nature through their
intermixture","Al-Usṭuqussāt al-Arba‘a/
Arkān Arba‘a /
‘Anāṣir Arba‘a","/ ۃعبرلاا تاسقطسلاا
ہعبرارصانع /ہعبرا ناکرا"
IUMT-3.1.3,earth,"One of the four primary components /elements
of human and non-human bodies having cold
and dry quality, which remains situated at the
centre of all existence, make the objects firm
and stable, and maintain their forms and figures",Al-Arḍ / Khāk/ Mittī,"ّ
یٹم /کاخ / ضرلاا"
IUMT-3.1.4,water,"One of the four primary components /elements
of human and non-human bodies having cold
and moist quality, which surrounds the earth and
lend itself readily to dispersion, and
consequently assumes any shape without
permanency, providing the possibility of things
being constructed, moulded, spread out and
attempered",Al-Mā’ / Āb/ Pānī,یناپ/بآ / ءاملا
IUMT-3.1.5,air,"One of the four primary components/elements of
human and non-human bodies having hot and
moist quality, which remains positioned above
the sphere of water and beneath that of fire and
rarefies and render things finer, lighter, more
delicate, softer and consequently better able to
move to the higher spheres",Al-Hawā’ / Hawā,اوہ / ءاوھلا
IUMT-3.1.6,fire,"One of the four primary components /elements
of human and non-human bodies having hot
and dry quality, which remains positioned above
the other three primary components and
produces maturation, lightness and intermingling",Al-Nār / Ātish/ Āg,گآ/شتآ / رانلا
IUMT-3.1.7,temperament,"Uniform quality of a compound present in its all
particles in equal proportion, developed due to
the interaction of opposite qualities of the four
primary components in such a manner that most
of the particles of each of the primary
components/elements may come into contact
with most of the others",Al-Mizāj,جازملا
IUMT-3.1.8,"real equable
temperament","Temperament wherein the opposite qualities
and quantities of all the participating primary
components/ elements in a compound are equal",Mizāj Mu‘tadil Ḥaqīqī,یقیقح لدتعم جازم
IUMT-3.1.9,equable temperament,"Temperament wherein the qualities and
quantities of all the participating primary
components in a compound are not equal but
perfectly balanced as per the required
properties and functions of that compound","Mizāj Mu‘tadil Ṭibbī /
Mizāj
Mu‘tadil/‘Adl fi’l Qisma","جازم / یبط لدتعم جازم
ف
ۃمسقلا � لدع /لدتعم"
IUMT-3.1.10,"equable temperament
of one species as
compared to other
species","Particular temperament provided to a particular
species which is normal and most suitable for
that species but abnormal for other species","Mizāj Mu‘tadil Naw‘ī bi’l
Qiyās ila’l Khārij","سایقلاب یعون لدتعم جازم
جراخلا یلا"
IUMT-3.1.11,"equable temperament of
a member of one
species as compared to
other members of the
same species","Equable temperament provided to a member of
a species which is most suitable and best
among all the members of that species and has
not been provided to any other member of
that species","Mizāj Mu‘tadil Naw‘ī bi’l
Qiyās ila’l Dākhil","سایقلاب یعون لدتعم جازم
لخادلا یلا"
IUMT-3.1.12,"equable temperament of
one race as compared
to other races","Equable temperament provided to each race of
human species, which helps to perform the
required functions of each race with maximum
completeness","Mizāj Mu‘tadil Ṣinfī bi’l
Qiyās ila’l Khārij","سایقلاب یفنص لدتعم جازم
جراخلا یلا"
IUMT-3.1.13,"equable temperament of
a person of one race as
compared to other
persons of the same
race","Equable temperament provided to a person of a
race which is not provided to any other person
of that race and is better than all the persons
of that race","Mizāj Mu‘tadil Ṣinfī bi’l
Qiyās ila’l Dākhil","سایقلاب یفنص لدتعم جازم
لخادلا یلا"
IUMT-3.1.14,"equable temperament of
a person as compared
to other persons","Equable temperament provided to a person
which is most suitable for himself to perform his
normal functions but is not suitable for any
other person","Mizāj Mu‘tadil Shakhṣī
bi’l Qiyās ila’l Khārij","یصخش لدتعم جازم
جراخلا یلا سایقلاب"
IUMT-3.1.15,"equable temperament of
a person as compared
to his own temperament
in different states","Equable temperament provided to a person
which is most suitable for a particular period or
state in his life","Mizāj Mu‘tadil Shakhṣī
bi’l Qiyās ila’l Dākhil","یصخش لدتعم جازم
لخادلا یلا سایقلاب"
IUMT-3.1.16,"equable temperament of
an organ as compared
to other organs
of the body","Equable temperament furnished to each and
every organ of the body","Mizāj Mu‘tadil ‘Uḍwī bi’l
Qiyās ila’l Khārij","یوضع لدتعم جازم
جراخلا یلا سایقلاب"
IUMT-3.1.17,"equable temperament of
an organ as compared
to its own temperament
in different states","Equable particular temperament provided to an
organ in most suitable states which is most ideal
as compared to all other states of that organ","Mizāj Mu‘tadil ‘Uḍwī bi’l
Qiyās ila’l Dākhil","یوضع ل دتعم جازم
لخادلا یلا سایقلاب"
IUMT-3.1.18,"abnormal temperament/
inequable temperament/
intemperament/
immoderate
temperament","Temperament wherein the qualities and
quantities of all the participating primary
components in a compound are not in
accordance with the natural needs",Mizāj Ghayr Mu‘tadil,لدتعم ریغ جازم
IUMT-3.1.19,"simple abnormal
temperament","Imbalanced temperament occurring due to
dominance of any one of the four qualities, i.e.,
hotness, coldness, dryness, moistness, over
the other three qualities","Mizāj Ghayr
Mu‘tadil Mufrad",درفم لدتعم ریغ جازم
IUMT-3.1.20,"compound abnormal
temperament","Imbalanced temperament occurring due to
dominance of two of the four qualities, i.e.,
hotness, coldness, dryness, moistness","Mizāj Ghayr Mu‘tadil
Murakkab",بکرم لدتعم ریغ جازم
IUMT-3.1.21,humour(s) / body fluid(s),"Primary fluid of the body which is an initial
product of digestion and transformation of food",Khilṭ / Akhlāṭ,طلاخا/ طلخ
IUMT-3.1.22,four humours,"Four primary fluids of the body, i.e., sanguine,
phlegm, yellow bile and black bile",Akhlāṭ Arba‘a,ہعبرا طلاخا
IUMT-3.1.23,sanguine,"One of the four humours, which is characterized
by hot and moist temperament, red colour,
sweet taste and no odour; it is the best of all the
four varieties of humours",Dam / Khūn /Khilṭ Aḥmar,رمحا طلخ/نوخ / مد
IUMT-3.1.24,normal sanguine,"Red-coloured, odourless and sweet in taste
sanguine humour","Dam Ṭabī‘ī / Khūn
Ṭabī‘ī/ Dam Maḥmūd","مد/یعیبط نوخ/یعیبط مد
دومحم"
IUMT-3.1.25,abnormal sanguine,"Sanguine humour, devoid of its normal qualities
either through change of temperament, such as
getting hot or cold, or due to admixture with the
humours derived from outside or produced
within the sanguine humour, e.g., when a part of
it gets putrefied, the lighter portion is converted
into abnormal yellow bile and the heavier portion
into abnormal black bile","Dam Ghayr Ṭabī‘ī /
Ghayr Ṭabī‘ī Khūn","یعیبط ریغ/یعیبط ریغ مد
نوخ"
IUMT-3.1.26,phlegm,"One of the four humours, which is white in
colour, bears cold and moist temperament and
is next to sanguine humour in excellence",Balgham / Khilṭ Abyaḍ,ضیبا طلخ/مغلب
IUMT-3.1.27,normal phlegm,"Phlegm that can be converted into sanguine
humour by the body when needed","Balgham Ṭabī‘ī /
Balgham Maḥmūd",دومحم مغلب /یعیبط مغلب
IUMT-3.1.28,abnormal phlegm,"Phlegm devoid of basic characters of
normal phlegm","Balgham Ghayr Ṭabī‘ī /
Balgham Mutaghayyir","مغلب / یعیبط ریغ مغلب
ریغتم"
IUMT-3.1.29,saline phlegm,"One of the abnormal types of phlegm, which is
saline or alkaline in taste and inclined towards
hotness and dryness","Balgham Māliḥ /
Balgham Shor",روش مغلب/حلام مغلب
IUMT-3.1.30,sour phlegm,"One of the abnormal types of phlegm, which is
sour in taste and inclined towards coldness
and dryness","Balgham Ḥāmiḍ /
Balgham Tursh",شرت مغلب /ضماح مغلب
IUMT-3.1.31,tasteless phlegm,"One of the abnormal types of phlegm, which is
tasteless, very immature and quite cold","Balgham Masīkh /
Balgham Tafih",ہفت مغلب / خیسم مغلب
IUMT-3.1.32,"gallic phlegm;
astringent phlegm","One of the abnormal types of phlegm, which is
gallic in taste and inclined towards coldness
and dryness",Balgham ‘Afiṣ,صفع مغلب
IUMT-3.1.33,sweet phlegm,"One of the abnormal types of phlegm, which is
sweet in taste and inclined towards hotness
and moistness",Balgham Ḥulw,ولح مغلب
IUMT-3.1.34,watery phlegm,"One of the abnormal types of phlegm, having
watery consistency",Balgham Mā’ī,یئام مغلب
IUMT-3.1.35,calcareous phlegm,"One of the abnormal types of phlegm, having
thicker consistency",Balgham Jaṣṣī,یصّ ج مغلب
IUMT-3.1.36,mucoid phlegm,"One of the abnormal types of phlegm, having
mucoid consistency",Balgham Mukhāṭī,یطاخم مغلب
IUMT-3.1.37,vitreous phlegm,"One of the abnormal types of phlegm, having
vitreous consistency",Balgham Zujājī,یجاجز مغلب
IUMT-3.1.38,foul-smelling phlegm,"One of the abnormal types of phlegm, having a
foul smell, produced by sepsis/infection/
putrefaction","Balgham Muntin /
Balgham Muta‘affin",نفعتم مغلب / نتنم مغلب
IUMT-3.1.39,"bile / yellow bile/
yellow humour/
bilious humour","One of the four humours, which is yellow in
colour, has hot and dry temperament and is
next to phlegm in excellence","Ṣafrā’ / Khilṭ Ṣafrā’/
Al-Khilṭ al-Aṣfar","/ءارفص طلخ / ءارفص
رفصلاا طلخلا"
IUMT-3.1.40,normal yellow bile,"Yellow bile that remains like the froth in
sanguine humour, is yellowish red in colour, light
in weight and hot in temperament","Ṣafrā’ Ṭabī‘ī /
Ṣafrā’ Maḥmūda","ءارفص / یعیبط ءارفص
ہدومحم"
IUMT-3.1.41,abnormal yellow bile,"Yellow bile that becomes abnormal either due to
addition of extraneous material or alteration in
its own composition","Ṣafrā’ Ghayr Ṭabī‘ī /
Ṣafrā’ Mutaghayyira","/یعیبط ریغ ءارفص
ہریغتم ءارفص"
IUMT-3.1.42,vitelline yellow bile,"One of the abnormal types of yellow bile,
produced by the admixture of thick phlegm",Ṣafrā’ Muḥḥiyya,ہیحّ م ءارفص
IUMT-3.1.43,serous yellow bile,"One of the abnormal types of yellow bile,
produced by the admixture of thin phlegm",Mirra Ṣafrā’,ءارفص ہرّ م
IUMT-3.1.44,burnt yellow bile,"One of the abnormal types of yellow bile,
produced by the admixture of burnt black bile",Ṣafrā’ Muḥtariqa,ہقرتحم ءارفص
IUMT-3.1.45,leek green yellow bile,"One of the abnormal types of yellow bile,
produced by the combustion of ordinary yellow
bile, resulting in development of leek green
colour due to mixing of the burnt material with
the original yellow bile",Ṣafrā’ Kurrāthī,یثارّ ک ءارفص
IUMT-3.1.46,"verdigris green
yellow bile","The hottest and the most harmful of all
abnormal types of yellow bile, produced due to
extreme combustion of leek green bile",Ṣafrā’ Zanjārī,یراجنز ءارفص
IUMT-3.1.47,"black bile / black humour /
melancholic humour","One of the four humours, which is black in
colour and has cold and dry temperament","Sawdā’ / Khilṭ Sawdā’/
Khilṭ Sawdāwī/ Mirra
Sawdā’/ Al-
Khilṭ al-Aswad","طلخ /ءادوس طلخ / ءادوس
/ءادوس ہرّ م /یوادوس
دوسلاا طلخلا"
IUMT-3.1.48,normal black bile,"One of the four humours, which is a sediment of
normal sanguine with a taste between
sweetness and astringency","Sawdā’ Ṭabī‘ī /
Sawdā’ Maḥmūda","ءادوس / یعیبط ءادوس
ہدومحم"
IUMT-3.1.49,abnormal black bile,"Black bile produced either by combustion of
black bile itself or combustion of any of the other
three humours, i.e., sanguine, phlegm,
yellow bile",Sawdā’ Ghayr Ṭabī‘ī,یعیبط ریغ ءادوس
IUMT-3.1.50,sanguineous black bile,"One of the abnormal types of black bile,
produced by combustion of sanguine","Sawdā’ Damawī /
Dam Aswad",دوسا مد / یومد ءادوس
IUMT-3.1.51,bilious black bile,"One of the abnormal types of black bile,
produced by combustion of yellow bile","Sawdā’ Ṣafrāwī /
Marār Aswad","رارم / یوارفص ءادوس
دوسا"
IUMT-3.1.52,phlegmatic black bile,"One of the abnormal types of black bile,
produced by combustion of phlegm",Sawdā’ Balghamī,یمغلب ءادوس
IUMT-3.1.53,melancholic black bile,"One of the abnormal types of black bile,
produced by combustion of black bile itself",Sawdā’ Sawdāwī,یوادوس ءادوس
IUMT-3.1.54,organ(s),"Parts of the body formed of normal humours
that retain their own shapes",‘Uḍw/ A‘ḍā’,ءاضعا/وضع
IUMT-3.1.55,"simple organs/
homogeneous organs","Organs whose visible parts have the same
name and definitions as the whole organ","A‘ḍā’
Mufrada / A‘ḍā’ Basīṭa /
A‘ḍā’
Mutashābiha al-Ajzā’","ءاضعا / ہدرفم ءاضعا
ۃھباشتم ءاضعا /ہطیسب
ءازجلاا"
IUMT-3.1.56,bone(s),Hard and white simple organ forming skeleton,‘Aẓm/‘Iẓām,ماظع /مظع
IUMT-3.1.57,cartilage(s),"Simple organ, which is softer than bone but
relatively harder than other tissues",Ghuḍrūf/ Ghaḍārīf,فیراضغ /فورضغ
IUMT-3.1.58,nerve(s),"White and elastic simple organ originating from
brain and the spinal cord",‘Aṣab/A‘ṣāb,باصعا /بصع
IUMT-3.1.59,tendon(s),"Simple organ bearing resemblance to nerve,
which arises from the ends of muscle and gets
attached to the mobile parts of the body",Watr/Awtār,راتوا /رتو
IUMT-3.1.60,ligament(s),"White simple organ bearing resemblance to
nerve, strengthening the joint by joining one
bone with another",Ribāṭ/ Ribāṭāt,تاطابر /طابر
IUMT-3.1.61,artery(ies),"Simple long hollow pulsating organ originating
from heart, which contracts and expands with a
period of rest in between the two movements",Shiryān/ Sharāyīn,نییارش /نایرش
IUMT-3.1.62,vein(s),"Simple non-pulsating organ similar to artery,
originating from liver",Warīd/ Awrida,ۃدروا /دیرو
IUMT-3.1.63,membrane(s),"Simple organ made of invisible nerve-like fibres,
which is spread into thin sheets over
various organs",Ghishā’/ Aghshiya,ۃیشغا /ءاشغ
IUMT-3.1.64,flesh,"Simple organ that fills spaces between other
simple organs",Laḥm,محل
IUMT-3.1.65,fat,"White and soft simple organ having oily matter,
which is commonly found over membranes",Shaḥm,محش
IUMT-3.1.66,hair,"Simple organ originating from thicker part of
body vapours that keeps on accumulating into
the skin pores and gets transformed into hair; it
grows in length during whole lifetime of a person",Sha‘r,رعش
IUMT-3.1.67,nail(s),"Simple organ which always grows in length
during whole lifetime of a person and remains
attached with distal phalanx",Ẓufr/ Aẓfār,رافظا /رفظ
IUMT-3.1.68,skin,"Simple organ which forms outer
covering of body",Jild,دلج
IUMT-3.1.69,compound organs,"Organs whose comprising parts, irrespective of
size, differ in nature as well as name from the
whole organ, e.g., hand, face, etc., where a part
of the face cannot be called the face and a part
of hand cannot be called the hand","A‘ḍā’ Murakkaba/
A‘ḍā’ Āliya","ءاضعا / ہبکرم ءاضعا
ہیلآ"
IUMT-3.1.70,compound organs type I,"Compound organs composed of only simple
organs, e.g., muscle which is composed of
flesh, fat, etc.","A‘ḍā’ Murakkaba ba
Tarkīb Awwalī","بیکرت ہب ہبکرم ءاضعا
یلوّ ا"
IUMT-3.1.71,compound organs type II,"Compound organs composed of a compound
organ type I with other organs, e.g., eye which is
composed of muscle (a compound organ type I),
fluids and seven layers","A‘ḍā’ Murakkaba ba
Tarkīb Thānwī","بیکرت ہب ہبکرم ءاضعا
یوناث"
IUMT-3.1.72,"compound
organs type III","Compound organs composed of a compound
organ type II with other organs, e.g., face which
is composed of eye (a compound organ type II),
nose, mouth, cheeks, etc.","A‘ḍā’ Murakkaba ba
Tarkīb Thālithī","بیکرت ہب ہبکرم ءاضعا
یثلاث"
IUMT-3.1.73,"compound
organs type IV","Compound organs composed of a compound
organ type III with other organs, e.g., head
which is composed of face (a compound organ
type III), ear, brain, etc.","A‘ḍā’ Murakkaba ba
Tarkīb Rābi‘ī","بیکرت ہب ہبکرم ءاضعا
یعبار"
IUMT-3.1.74,"organs for nutrition,
growth and reproduction","Organs executing the functions of the physical
faculty, with the liver being the chief organ",A‘ḍā’ Ṭabī‘iyya,ہیعیبط ءاضعا
IUMT-3.1.75,"organs for nutrition
and growth","Organs making suitable changes in the diet
consumed by an individual, to make it part of his
body and replace wear and tear",A‘ḍā’ al-Ghidhā’,ءاذغلا ءاضعا
IUMT-3.1.76,reproductive organs,"Organs executing functions of reproductive
faculty for preservation of species, the testes
being the chief organ in males and the ovaries
in females","A‘ḍā’ al-Tanāsul/
A‘ḍā’ al-Tawlīd","ءاضعا / لسانتلا ءاضعا
دیلوتلا"
IUMT-3.1.77,"organs for blood
circulation and
respiration","Organs executing functions of vital faculty, the
heart being the chief organ",A‘ḍā’ Ḥaywāniyya,ہیناویح ءاضعا
IUMT-3.1.78,"organs for psychic
functions","Organs executing the functions of the psychic
faculty, the brain being the chief organ",A‘ḍā’ Nafsāniyya,ہیناسفن ءاضعا
IUMT-3.1.79,pneuma(s),"Light gaseous substance obtained from the
interaction of inspired air with subtle humours
found in organs and fluids of the body and help
faculties in their functions; the term does not
cover Rūḥ mentioned under Unani pharmacy",Rūḥ/ Arwāḥ,حاورا /حور
IUMT-3.1.80,psychic pneuma,"The pneuma found in the organs of the psychic
faculty whose centre is brain and helps psychic
faculty to perform its functions",Rūḥ Nafsāniyya,ہیناسفن حور
